Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
211,6.936193,24.4658489,5.626549081,12.44462812,15.17591956,18.33823591,5.8503263
212,6.936193,24.4658489,5.626549081,12.46382102,15.17591956,18.46183391,5.8503263
213,6.936193,24.4658489,5.626549081,12.47921162,15.17591956,18.49280871,5.8503263
214,6.936193,24.4658489,5.626549081,12.55586822,15.17591956,18.58312321,5.8503263
215,6.936193,24.4658489,5.626549081,12.61593752,15.17591956,18.63413331,5.8503263
216,6.936193,24.4658489,5.626549081,12.63389382,15.17591956,18.69805511,5.8503263
217,6.936193,24.4658489,5.626549081,12.64550022,15.17591956,18.78834891,5.8503263
218,6.936193,24.4658489,5.626549081,12.68021752,15.17591956,18.80506691,5.8503263
219,6.936193,24.4658489,5.626549081,12.72589072,15.17591956,18.85523751,5.8503263
220,6.936193,24.4658489,5.626549081,12.76402262,15.17591956,18.86876221,5.8503263
221,6.936193,24.4658489,5.626549081,12.80266062,15.17591956,18.92231801,5.8503263
222,6.936193,24.4658489,5.626549081,12.85659642,15.17591956,18.97160021,5.8503263
223,6.936193,24.4658489,5.626549081,12.87971742,15.17591956,19.03927431,5.8503263
224,6.936193,24.4658489,5.626549081,12.88595926,15.17591956,19.08133921,5.8503263
225,6.936193,24.4658489,5.626549081,12.89421987,15.17591956,19.19969821,5.8503263
226,6.936193,24.4658489,5.626549081,12.94105367,15.17591956,19.29035451,5.8503263
227,6.936193,24.4658489,5.626549081,12.95308067,15.17591956,19.38484721,5.8503263
228,6.936193,24.4658489,5.626549081,13.01033157,15.17591956,19.52593321,5.8503263
229,6.936193,24.4658489,5.626549081,13.10253457,15.17591956,19.61172391,5.8503263
230,6.936193,24.4658489,5.626549081,13.15288277,15.17591956,19.62267981,5.8503263
231,6.936193,24.4658489,5.626549081,13.19008577,15.17591956,19.75753481,5.8503263
232,6.936193,24.4658489,5.626549081,13.21595267,15.17591956,19.85030661,5.8503263
233,6.936193,24.4658489,5.626549081,13.25364797,15.17591956,19.96842861,5.8503263
234,6.936193,24.4658489,5.626549081,13.26688917,15.17591956,19.96979327,5.8503263
235,6.936193,24.4658489,5.626549081,13.31132937,15.17591956,20.11746027,5.8503263
236,6.936193,24.4658489,5.626549081,13.34025707,15.17591956,20.12045131,5.8503263
237,6.936193,24.4658489,5.626549081,13.39561237,15.17591956,20.15079481,5.8503263
238,6.936193,24.4658489,5.626549081,13.41813457,15.17591956,20.15553868,5.8503263
239,6.936193,24.4658489,5.626549081,13.44678717,15.17591956,20.17150908,5.8503263
240,6.936193,24.4658489,5.626549081,13.49015127,15.17591956,20.25888608,5.8503263
241,6.936193,24.4658489,5.626549081,13.50979007,15.17591956,20.34981208,5.8503263
242,6.936193,24.4658489,5.626549081,13.56353247,15.17591956,20.36152958,5.8503263
243,6.936193,24.4658489,5.626549081,13.58231267,15.17591956,20.45949668,5.8503263
244,6.936193,24.4658489,5.626549081,13.63765557,15.17591956,20.53437098,5.8503263
245,6.936193,24.4658489,5.626549081,13.65088587,15.17591956,20.55098898,5.8503263
246,6.936193,24.4658489,5.626549081,13.65798393,15.17591956,20.61372588,5.8503263
247,6.936193,24.4658489,5.626549081,13.68710883,15.17591956,20.67481278,5.8503263
248,6.936193,24.4658489,5.626549081,13.70692743,15.17591956,20.72579908,5.8503263
249,6.936193,24.4658489,5.626549081,13.71780263,15.17591956,20.82785908,5.8503263
250,6.936193,24.4658489,5.626549081,13.73415153,15.17591956,20.99312408,5.8503263
251,6.936193,24.4658489,5.626549081,13.78602013,15.17591956,21.00940218,5.8503263
252,6.936193,24.4658489,5.626549081,13.80511473,15.17591956,21.02856588,5.8503263
253,6.936193,24.4658489,5.626549081,13.83399703,15.17591956,21.14226588,5.8503263
254,6.936193,24.4658489,5.626549081,13.85828153,15.17591956,21.36815788,5.8503263
255,6.936193,24.4658489,5.626549081,13.87327363,15.17591956,21.41147678,5.8503263
256,6.936193,24.4658489,5.626549081,13.87975881,15.17591956,21.43387418,5.8503263
257,6.936193,24.4658489,5.626549081,13.96157801,15.17591956,21.58248118,5.8503263
258,6.936193,24.4658489,5.626549081,13.98676241,15.17591956,21.70024418,5.8503263
259,6.936193,24.4658489,5.626549081,14.06808991,15.17591956,21.73913578,5.8503263
260,6.936193,24.4658489,5.626549081,14.10266331,15.17591956,21.95128378,5.8503263
261,6.936193,24.4658489,5.626549081,14.11456081,15.17591956,22.08164878,5.8503263
262,6.936193,24.4658489,5.626549081,14.19310461,15.17591956,22.14015638,5.8503263
263,6.936193,24.4658489,5.626549081,14.26022611,15.17591956,22.26151838,5.8503263
264,6.936193,24.4658489,5.626549081,14.28781341,15.17591956,22.29647498,5.8503263
265,6.936193,24.4658489,5.626549081,14.31822941,15.17591956,22.34918298,5.8503263
266,6.936193,24.4658489,5.626549081,14.32092338,15.17591956,22.43699748,5.8503263
267,6.936193,24.4658489,5.626549081,14.33261068,15.17591956,22.45553378,5.8503263
268,6.936193,24.4658489,5.626549081,14.34871828,15.17591956,22.49666108,5.8503263
269,6.936193,24.4658489,5.626549081,14.38271878,15.17591956,22.59813108,5.8503263
270,6.936193,24.4658489,5.626549081,14.42296208,15.17591956,22.77044108,5.8503263
271,6.936193,24.4658489,5.626549081,14.44562798,15.17591956,22.98594308,5.8503263
272,6.936193,24.4658489,5.626549081,14.45354772,15.17591956,23.17439108,5.8503263
273,6.936193,24.4658489,5.626549081,14.46642312,15.17591956,23.20034488,5.8503263
274,6.936193,24.4658489,5.626549081,14.49208532,15.17591956,23.28403628,5.8503263
275,6.936193,24.4658489,5.626549081,14.55089372,15.17591956,23.35529878,5.8503263
276,6.936193,24.4658489,5.626549081,14.59276412,15.17591956,23.38711458,5.8503263
277,6.936193,24.4658489,5.626549081,14.60220102,15.17591956,23.40626138,5.8503263
278,6.936193,24.4658489,5.626549081,14.65749572,15.17591956,23.47509708,5.8503263
279,6.936193,24.4658489,5.626549081,14.68552122,15.17591956,23.48837878,5.8503263
280,6.936193,24.4658489,5.626549081,14.71154712,15.17591956,23.55971498,5.8503263
281,6.936193,24.4658489,5.626549081,14.77164252,15.17591956,23.56306733,5.8503263
282,6.936193,24.4658489,5.626549081,14.82526982,15.17591956,23.58032773,5.8503263
283,6.936193,24.4658489,5.626549081,14.84952092,15.17591956,23.63048393,5.8503263
284,6.936193,24.4658489,5.626549081,14.87916032,15.17591956,23.71996333,5.8503263
285,6.936193,24.4658489,5.626549081,14.88692806,15.17591956,23.76999033,5.8503263
286,6.936193,24.4658489,5.626549081,14.91512136,15.17591956,23.91940633,5.8503263
287,6.936193,24.4658489,5.626549081,14.93699116,15.17591956,23.93479383,5.8503263
288,6.936193,24.4658489,5.626549081,14.97210516,15.17591956,23.99801243,5.8503263
289,6.936193,24.4658489,5.626549081,15.02086846,15.17591956,24.01655503,5.8503263
290,6.936193,24.4658489,5.626549081,15.04940526,15.17591956,24.12261303,5.8503263
291,6.936193,24.4658489,5.626549081,15.13661206,15.17591956,24.16677023,5.8503263
292,6.936193,24.4658489,5.626549081,15.25312306,15.17591956,24.25207323,5.8503263
293,6.936193,24.4658489,5.626549081,15.32770696,15.17591956,24.31306523,5.8503263
294,6.936193,24.4658489,5.626549081,15.40539466,15.17591956,24.34441563,5.8503263
295,6.936193,24.4658489,5.626549081,15.41762986,15.17591956,24.51617163,5.8503263
296,6.936193,24.4658489,5.626549081,15.43366226,15.17591956,24.69846363,5.8503263
297,6.936193,24.4658489,5.626549081,15.45329996,15.17591956,24.87481963,5.8503263
298,6.936193,24.4658489,5.626549081,15.50369426,15.17591956,24.99207463,5.8503263
299,6.936193,24.4658489,5.626549081,15.58600126,15.17591956,25.05644763,5.8503263
300,6.936193,24.4658489,5.626549081,15.62667966,15.17591956,25.06860993,5.8503263
301,6.936193,24.4658489,5.626549081,15.71808886,15.17591956,25.12214553,5.8503263
302,6.936193,24.4658489,5.626549081,15.73102866,15.17591956,25.18585843,5.8503263
303,6.936193,24.4658489,5.626549081,15.77462436,15.17591956,25.22127383,5.8503263
304,6.936193,24.4658489,5.626549081,15.86775186,15.17591956,25.22776158,5.8503263
305,6.936193,24.4658489,5.626549081,15.94139826,15.17591956,25.26587078,5.8503263
306,6.936193,24.4658489,5.626549081,16.03497266,15.17591956,25.37647178,5.8503263
307,6.936193,24.4658489,5.626549081,16.07105866,15.17591956,25.50046178,5.8503263
308,6.936193,24.4658489,5.626549081,16.13241326,15.17591956,25.51655008,5.8503263
309,6.936193,24.4658489,5.626549081,16.17708896,15.17591956,25.59481868,5.8503263
310,6.936193,24.4658489,5.626549081,16.21205816,15.17591956,25.78662068,5.8503263
311,6.936193,24.4658489,5.626549081,16.25463126,15.17591956,25.82570798,5.8503263
312,6.936193,24.4658489,5.626549081,16.29956666,15.17591956,25.92300408,5.8503263
313,6.936193,24.4658489,5.626549081,16.37087276,15.17591956,25.99933768,5.8503263
314,6.936193,24.4658489,5.626549081,16.43147976,15.17591956,26.06586218,5.8503263
315,6.936193,24.4658489,5.626549081,16.50442416,15.17591956,26.25615818,5.8503263
316,6.936193,24.4658489,5.626549081,16.51833356,15.17591956,26.39215418,5.8503263
317,6.936193,24.4658489,5.626549081,16.57529786,15.17591956,26.41394398,5.8503263
318,6.936193,24.4658489,5.626549081,16.60680276,15.17591956,26.46662908,5.8503263
319,6.936193,24.4658489,5.626549081,16.66029146,15.17591956,26.63926908,5.8503263
320,6.936193,24.4658489,5.626549081,16.67331216,15.17591956,26.74271608,5.8503263
321,6.936193,24.4658489,5.626549081,16.67489875,15.17591956,26.82704048,5.8503263
322,6.936193,24.4658489,5.626549081,16.68805585,15.17591956,26.87932918,5.8503263
