"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"125",4.92511424,3.072334066,27.90027099,1.758908566,4.575207818,43.77782589,33.99633516,3.546111146,5.07393548,4.36669693,51.34568245,3.81413009
"126",4.9314788,3.095318466,27.92313829,1.768802276,4.619205618,43.81680769,34.06244256,3.565578446,5.14291628,4.37828533,51.49432745,3.82008471
"127",4.9662695,3.105829166,28.02920129,1.774108156,4.693742718,43.96945069,34.25236156,3.585045746,5.17552608,4.38987373,51.52616595,3.85250791
"128",5.0089558,3.121435866,28.05224279,1.786820356,4.727172318,44.31757669,34.34540726,3.604042646,5.20813588,4.39202564,52.29404495,3.86523951
"129",5.0638995,3.141541366,28.07530139,1.801344456,4.744520718,44.34814809,34.67674826,3.649306146,5.24940628,4.41730934,52.99738095,3.88033491
"130",5.0838963,3.182722666,28.11734329,1.811238166,4.830625218,44.39456089,35.48366926,3.661110246,5.25304558,4.46245744,53.88429395,3.89395851
"131",5.1077997,3.221692866,28.16766029,1.811238166,4.897824618,44.72439589,36.51098926,3.667134266,5.25605049,4.50760554,54.30503795,3.92210991
"132",5.1321279,3.235658666,28.57940329,1.811238166,4.965024018,44.83499689,37.06845626,3.683754466,5.29544359,4.53109924,54.98716895,3.97284891
"133",5.1617166,3.244492126,29.01908129,1.821396066,5.034302218,44.96393789,37.69470526,3.708572766,5.33055859,4.55359204,55.49114395,3.97284891
"134",5.213712,3.259781226,29.43046929,1.849407166,5.053191318,45.04271239,38.13621726,3.744475166,5.35225109,4.57002584,56.08772695,3.97284891
"135",5.2375142,3.275100626,29.63135329,1.857233646,5.071701818,45.14826739,38.55660126,3.782199866,5.36353209,4.59295564,56.55260695,4.01617031
"136",5.2716472,3.315909826,29.68589569,1.876678046,5.107650318,45.28943839,38.70373426,3.814900266,5.41090399,4.63254964,57.23640195,4.06096661
"137",5.2894278,3.334181426,29.75275839,1.888283746,5.133651918,45.49502539,39.26706426,3.882812566,5.43989429,4.67764424,57.77175695,4.14094321
"138",5.3023833,3.338665656,29.97290339,1.907466246,5.193073418,45.76164039,39.62012526,3.926981566,5.47777019,4.68182694,57.95528495,4.15248111
"139",5.3502152,3.358842356,30.09756239,1.929489446,5.211584818,45.87490939,40.00109126,3.980125866,5.51282539,4.78716894,58.46560195,4.17011651
"140",5.373708,3.377479456,30.13719689,1.951512646,5.287814518,46.02270939,40.23960826,3.996631066,5.53017029,4.87326744,58.71905795,4.18673911
"141",5.4062221,3.406527556,30.18444199,1.964393746,5.387188218,46.18768939,40.47269226,4.010933566,5.53899347,4.90314004,59.14591795,4.22449991
"142",5.4867122,3.443387256,30.26462619,1.971349416,5.418404818,46.63780439,40.72786126,4.032057166,5.54835963,4.90568957,59.20730105,4.29138651
"143",5.503029,3.470823056,30.33077029,1.981507316,5.449012218,47.00116939,41.23179926,4.034797366,5.55911613,4.93999367,59.35742705,4.33539111
"144",5.5850096,3.480010136,30.42736529,1.991550716,5.499405118,47.27224539,41.34796526,4.185088366,5.57258893,4.97662147,59.54767005,4.35209591
"145",5.6325897,3.495481436,30.52044749,2.001627116,5.517340418,47.36329479,41.57448426,4.798741366,5.57985864,5.00885737,59.74135505,4.43460731
"146",5.6781058,3.504222056,30.53993989,2.004466056,5.522063568,47.46891579,41.75754326,5.343255366,5.61615304,5.05321967,59.96289705,4.46026141
"147",5.6897927,3.521287556,30.56987949,2.026863356,5.527541928,47.68653979,41.87219226,6.304914366,5.65282524,5.06219951,60.13349205,4.49182541
"148",5.7239781,3.530461656,30.67517149,2.047641156,5.543020528,48.02810179,41.96535476,7.251285366,5.67122094,5.13139781,60.22290715,4.54919661
"149",5.7645968,3.537711796,30.81066149,2.060097956,5.561688328,48.23647579,42.17287376,8.050847366,5.68950714,5.21161431,60.62337915,4.58011681
"150",5.7996936,3.554050996,30.87253239,2.085606056,5.568951318,48.44119179,42.29464976,9.552007366,5.69677685,5.21795945,60.99913815,4.58768517
"151",5.8153032,3.605733396,30.89877589,2.107629256,5.582195718,48.45553049,42.45447076,11.702047366,5.69677685,5.22413753,61.31228515,4.62360707
"152",5.8461105,3.656614596,30.92184809,2.119017256,5.609397218,48.74530149,42.52832956,13.351907366,5.78308055,5.27725563,61.50467715,4.70182407
"153",5.9469365,3.689669996,30.98468209,2.129036256,5.660349918,48.81114839,42.60975426,14.878217366,5.87653715,5.32662253,61.54129685,4.71535487
"154",6.000559,3.697214016,31.06518389,2.139832356,5.680076018,48.93601739,42.72166426,15.910237366,5.98863315,5.35717663,61.59995995,4.77047607
