"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",1.1010497,10.123871,1.1273669,1.9794572,1.22590945,38.64839,9.889594,1.300967,1.6630497,1.8223758,0.9745416,2.3118814
"TEMP",1.0212827,9.822444,1.3093171,1.9481102,1.20288045,37.92935,10.416761,1.362847,1.9868676,1.8609568,1.0321036,2.3539203
"TEMP",1.0333967,9.464189,1.3278121,2.1371972,1.12526195,36.7255,10.357041,1.375718,1.9568882,1.7694688,1.1183251,2.3684585
"TEMP",1.0107077,8.61127,1.2882562,2.3122752,1.01535725,35.55554,10.412251,1.1958373,2.0804082,1.6755169,1.0870121,2.5199335
"TEMP",1.0528577,7.953896,1.2801349,2.2971632,1.00324795,34.31871,11.294342,1.2267176,2.0501313,1.4308131,0.978788,3.0073165
"TEMP",0.9527608,6.7804753,1.1759699,2.689891,1.00779275,30.89887,11.196176,1.2498276,2.0723353,1.2525447,1.3220019,3.7054159
"TEMP",0.9445728,5.7115576,1.2308059,2.674091,0.77345445,28.511211,10.330788,1.2135321,2.2676597,1.2169112,1.4351449,3.9431049
"TEMP",0.8983298,4.8736264,1.15496469,2.729955,0.53941755,25.984331,10.982324,1.0070911,2.1668982,1.2660843,1.4169841,3.8091571
"TEMP",0.8916458,3.9142544,1.12573609,2.528529,0.65529545,22.212522,10.75769,1.1188029,1.9285638,1.2812313,1.4276065,3.8830701
"TEMP",1.0045717,2.9184464,1.20951509,2.674995,0.82668655,19.440262,10.58034,1.039406,1.7901218,1.2023029,1.4323285,3.6073891
"TEMP",1.0633515,1.9482004,1.20559109,2.716709,0.8612266,16.585245,10.037462,1.038541,1.8078448,1.1473249,1.4316129,3.6852328
"TEMP",1.0906605,1.5761122,1.07120709,2.807614,0.9763496,14.953575,9.081803,0.8876373,1.5879768,0.9653139,1.3695223,3.7780228
"TEMP",1.0222699,1.1394752,0.97060079,2.344676,1.2098731,13.426275,8.565291,0.9000967,1.6000172,1.0535659,1.4269433,3.8094675
"TEMP",0.8999092,1.2308002,0.96692599,1.9632066,1.3373308,12.603665,8.162291,0.9698664,1.5266482,1.3382938,1.3141814,4.1553655
"TEMP",0.8279267,1.1145352,1.03950079,1.9103572,1.3141812,10.38903,7.677899,0.92601598,1.5575913,1.3194098,1.3366707,3.6990035
